Service Name,Status,Time,Project,Client Card
Service15,PASS,"Jun 01, 2020 19:30:15",Youth,1111111
Service16,PASS,"Jun 01, 2020 19:30:16",Mobile Banking,1111111
Service17,PASS,"Jun 01, 2020 19:30:17",DI,1111111
Service18,PASS,"Jun 01, 2020 19:30:18",DS,1111111
Service19,FAIL,"Jun 01, 2020 19:30:19",NOMI,1111111
Service20,FAIL,"Jun 01, 2020 19:30:20",Youth,1111111
Service21,FAIL,"Jun 01, 2020 19:30:21",Mobile Banking,1111111
Service22,FAIL,"Jun 01, 2020 19:30:22",DI,1111111
Service23,FAIL,"Jun 01, 2020 19:30:23",DS,1111111
Service24,FAIL,"Jun 01, 2020 19:30:24",NOMI,1111111
Service25,FAIL,"Jun 01, 2020 19:30:25",Youth,1111111
Service26,FAIL,"Jun 01, 2020 19:30:26",Mobile Banking,1111112
Service27,FAIL,"Jun 01, 2020 19:30:27",DI,1111111
Service28,FAIL,"Jun 01, 2020 19:30:28",DS,1111111
Service29,FAIL,"Jun 01, 2020 19:30:29",NOMI,1111111
Service30,FAIL,"Jun 01, 2020 19:30:30",Youth,1111111
Service31,FAIL,"Jun 01, 2020 19:30:31",Mobile Banking,1111111
Service32,FAIL,"Jun 01, 2020 19:30:32",DI,1111111
Service33,FAIL,"Jun 01, 2020 19:30:33",DS,1111111
Service34,FAIL,"Jun 01, 2020 19:30:34",NOMI,1111111
Service35,FAIL,"Jun 01, 2020 19:30:35",Youth,1111111
Service36,FAIL,"Jun 01, 2020 19:30:36",Mobile Banking,1111111
Service37,FAIL,"Jun 01, 2020 19:30:37",DI,1111111
Service38,FAIL,"Jun 01, 2020 19:30:38",DS,1111111
Service39,FAIL,"Jun 01, 2020 19:30:39",NOMI,1111111
Service40,FAIL,"Jun 01, 2020 19:30:40",Youth,1111111
Service41,FAIL,"Jun 01, 2020 19:30:41",Mobile Banking,1111111
Service42,FAIL,"Jun 01, 2020 19:30:42",DI,1111112
Service43,FAIL,"Jun 01, 2020 19:30:43",DS,1111112
Service44,FAIL,"Jun 01, 2020 19:30:44",NOMI,1111112
Service45,FAIL,"Jun 01, 2020 19:30:45",Youth,1111112
Service46,FAIL,"Jun 01, 2020 19:30:46",Mobile Banking,1111112
Service47,FAIL,"Jun 01, 2020 19:30:47",DI,1111112
Service48,FAIL,"Jun 01, 2020 19:30:48",DS,1111112
Service49,FAIL,"Jun 01, 2020 19:30:49",NOMI,1111112
Service50,PASS,"Jun 01, 2020 19:30:50",Youth,1111112
Service51,PASS,"Jun 01, 2020 19:30:51",Mobile Banking,1111112
Service52,FAIL,"Jun 01, 2020 19:30:52",DI,1111112
Service53,FAIL,"Jun 01, 2020 19:30:53",DS,1111112
Service54,PASS,"Jun 01, 2020 19:30:54",NOMI,1111112
Service55,PASS,"Jun 01, 2020 19:30:55",Youth,1111112
Service56,PASS,"Jun 01, 2020 19:30:56",Mobile Banking,1111112
Service57,PASS,"Jun 01, 2020 19:30:57",DI,1111112
Service58,PASS,"Jun 01, 2020 19:30:58",DS,1111112
Service59,PASS,"Jun 01, 2020 19:30:59",NOMI,1111112
Service60,PASS,"Jun 01, 2020 19:30:60",Youth,1111112
Service61,PASS,"Jun 01, 2020 19:30:61",Mobile Banking,1111112
Service62,PASS,"Jun 01, 2020 19:30:62",DI,1111112
Service63,PASS,"Jun 01, 2020 19:30:63",DS,1111112
Service64,FAIL,"Jun 01, 2020 19:30:64",NOMI,1111112
Service65,FAIL,"Jun 01, 2020 19:30:65",Youth,1111112
Service66,FAIL,"Jun 01, 2020 19:30:66",Mobile Banking,1111113
Service67,FAIL,"Jun 01, 2020 19:30:67",DI,1111113
Service68,FAIL,"Jun 01, 2020 19:30:68",DS,1111113
Service69,FAIL,"Jun 01, 2020 19:30:69",NOMI,1111113
Service70,FAIL,"Jun 01, 2020 19:30:70",Youth,1111112
Service71,FAIL,"Jun 01, 2020 19:30:71",Mobile Banking,1111112
Service72,FAIL,"Jun 01, 2020 19:30:72",DI,1111112
Service73,PASS,"Jun 01, 2020 19:30:73",DS,1111112
Service74,PASS,"Jun 01, 2020 19:30:74",NOMI,1111113
Service75,PASS,"Jun 01, 2020 19:30:75",Youth,1111112
Service76,PASS,"Jun 01, 2020 19:30:76",Mobile Banking,1111112
Service77,PASS,"Jun 01, 2020 19:30:77",DI,1111112
Service78,PASS,"Jun 01, 2020 19:30:78",DS,1111112
Service79,PASS,"Jun 01, 2020 19:30:79",NOMI,1111112
Service80,PASS,"Jun 01, 2020 19:30:80",Youth,1111112
Service81,PASS,"Jun 01, 2020 19:30:81",Mobile Banking,1111112
Service82,PASS,"Jun 01, 2020 19:30:82",DI,1111112
Service83,PASS,"Jun 01, 2020 19:30:83",DS,1111112
Service84,PASS,"Jun 01, 2020 19:30:84",NOMI,1111112
Service85,PASS,"Jun 01, 2020 19:30:85",Youth,1111112
Service86,FAIL,"Jun 01, 2020 19:30:86",Mobile Banking,1111112
Service87,FAIL,"Jun 01, 2020 19:30:87",DI,1111113
Service88,FAIL,"Jun 01, 2020 19:30:88",DS,1111113
Service89,FAIL,"Jun 01, 2020 19:30:89",NOMI,1111113
Service90,FAIL,"Jun 01, 2020 19:30:90",Youth,1111113
Service91,FAIL,"Jun 01, 2020 19:30:91",Mobile Banking,1111113
Service92,FAIL,"Jun 01, 2020 19:30:92",DI,1111113
Service93,FAIL,"Jun 01, 2020 19:30:93",DS,1111113
Service94,FAIL,"Jun 01, 2020 19:30:94",NOMI,1111113
Service95,FAIL,"Jun 01, 2020 19:30:95",Youth,1111113
Service96,FAIL,"Jun 01, 2020 19:30:96",Mobile Banking,1111113
Service97,FAIL,"Jun 01, 2020 19:30:97",DI,1111113
Service98,FAIL,"Jun 01, 2020 19:30:98",DS,1111113
Service99,PASS,"Jun 01, 2020 19:30:99",NOMI,1111113
